feature,importance
src_bytes,0.13705628280841273
total_bytes,0.11647909159111902
bytes_per_second,0.10258661040652967
dst_bytes,0.09711570707598359
byte_ratio,0.08749721174578233
flag,0.045801976597544286
same_srv_rate,0.04133024313810199
dst_host_same_srv_rate,0.03934909520807046
diff_srv_rate,0.03824739138502008
logged_in,0.03310019085281033
dst_host_srv_count,0.02863633595428121
count,0.02825874295550408
protocol_type,0.02733700192579422
dst_host_diff_srv_rate,0.024900286931934874
service,0.019262440488265184
dst_host_same_src_port_rate,0.01876734140967697
dst_host_srv_diff_host_rate,0.016695341434142814
dst_host_count,0.013453965815498929
srv_serror_rate,0.012829608706493838
srv_count,0.012791683099945876
